,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_DikeIncrease,A.2_DikeIncrease,A.3_DikeIncrease,A.4_DikeIncrease,A.5_DikeIncrease,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
10,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,7,9,3,5,4,10,0,4,0,6,0,1,9,1,9,7,4,6,10,0,0.0,248410761.78812402,0.0,0.0,257197962.86917984,0.0,72740368.8539848,26403379.542306438,0.02228668249701349,0.0,20319063.206658736,0.0,0.0,161316412.93582147,0.0,726000000.0,742.1423715305091
11,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,3,5,4,6,6,2,0,7,2,2,9,1,4,8,2,1,9,1,4,6,1,0.0,192730334.84053624,0.0,0.0,118427379.06875929,0.0,0.0,92262765.08401714,0.0,0.0,40263635.24698235,0.0,0.0,119582427.5119285,0.0,929900000.0,0.0
12,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,8,5,10,10,2,1,10,7,3,5,4,6,0,7,10,7,5,2,0.0,76299088.11882158,0.0,0.0,341889651.2517848,0.0,0.0,92782358.70963308,0.0,0.0,40445544.25168531,0.0,0.0,79444167.5169792,0.0,1925400000.0,0.0
13,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,2,2,7,3,10,3,6,8,8,3,10,2,5,0,2,0,9,6,4,0,1,0.0,167355240.67253488,0.0,0.0,268694631.20258206,0.0,0.0,127492988.413746,0.0,0.0,47209996.57094852,0.0,29626848.01955231,27578229.96765524,0.0019110686697308911,793300000.0,717.5230100407418
14,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,10,6,1,1,8,6,0,7,5,5,2,6,8,0,4,2,0,0,10,1,0.0,236041621.45002967,0.0,8003648.751559284,211665637.03761387,0.003623935822028825,10962967.824245157,70656192.99188861,0.009196856170361391,0.0,35666063.36272972,0.0,0.0,92134101.91956422,0.0,946900000.0,0.0
15,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,5,2,9,4,0,0,8,2,3,7,2,0,0,0,4,7,4,1,2,0,0.0,205916260.14194593,0.0,0.0,53358573.6002109,0.0,0.0,100150516.85935023,0.0,0.0,23537919.412238494,0.0,103544374.44865175,33377116.55719709,0.006728777432283798,508200000.0,2492.428771065406
16,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,2,4,4,6,1,3,8,10,5,4,1,7,4,3,4,0,5,6,8,5,1,0.0,182020969.65964568,0.0,15952830.70736253,180691835.99757504,0.0010877684968178644,0.0,128220030.76940618,0.0,0.0,33754914.90982836,0.0,0.0,67268466.33257627,0.0,1607900000.0,329.5833740406598
17,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,4,4,10,8,6,0,3,2,1,8,6,0,2,3,0,2,8,10,6,3,2,0.0,278763433.25560963,0.0,0.0,124573879.8096008,0.0,4241880.103514778,85117414.1185509,0.0004382624137015082,0.0,21556221.14781617,0.0,2577723.416968884,60854576.45659251,0.00013637360365888296,369700000.0,191.50075429271834
18,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,3,7,6,8,2,2,8,2,4,0,1,10,6,5,4,1,0,0,9,0,0,0.0,263047872.6385459,0.0,980699.4564373498,181582300.45751143,5.386659800271274e-05,0.0,50406479.71948833,0.0,1594355.1367391928,45616252.67716693,4.759231168230893e-05,0.0,110037602.42695479,0.0,1548100000.0,76.86392586379624
19,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,5,1,3,10,8,9,8,6,8,0,2,6,1,0,6,8,10,3,0,1,0.0,144386177.4180255,0.0,0.0,378025154.1969896,0.0,0.0,138046729.98550928,0.0,4138888.0468525593,20793414.8415654,0.00011974434266788153,37707067.89743462,66687072.31506137,0.00197314989138997,851200000.0,1259.1332352662394
20,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,2,2,6,2,5,10,10,10,0,0,6,8,0,1,0,9,2,1,2,0.0,112429465.54032746,0.0,0.0,196159167.786688,0.0,0.0,192666453.0088932,0.0,8173749.400992993,12586457.998778107,0.001952091481088975,0.0,81222228.2680157,0.0,675200000.0,0.0
21,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,4,0,2,2,6,3,2,5,3,2,0,8,2,0,0,8,7,8,5,3,1,0.0,77099991.75787257,0.0,0.0,182511579.08130905,0.0,0.0,86427363.44892766,0.0,1481696.3536036524,25702162.374998905,4.1919981342617366e-05,5912255.48027327,48463701.69719181,0.0003035244839658317,1255200000.0,266.86460573534146
22,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,4,5,8,9,3,1,9,6,2,1,4,8,0,3,0,7,10,0,3,0,0.0,212824889.79699445,0.0,0.0,211965961.84284037,0.0,0.0,119789879.02830844,0.0,4398954.778632901,35403116.165144265,0.00110698843067165,54003275.784436494,30351526.042379983,0.023338418452681975,1012800000.0,0.0
23,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,5,6,1,3,0,6,3,6,6,5,3,6,8,0,4,3,5,0,10,1,0.0,173111848.8563866,0.0,0.0,120892243.43187523,0.0,0.0,101412629.76652047,0.0,0.0,37536656.165781654,0.0,0.0,92134101.91956422,0.0,1172300000.0,0.0
24,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,3,3,5,0,10,5,1,2,2,9,1,3,7,1,0,1,1,8,4,5,1,0.0,101988088.03595176,0.0,0.0,245968546.0347114,0.0,1877291.4594396655,92327181.52730553,0.00019425352062216422,4377377.734625941,31376262.396394357,0.00013175221505926866,73380965.87620604,50929971.20054293,0.0038403995561775463,710400000.0,2362.3581146531988
25,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,6,2,1,1,0,5,5,3,3,0,5,10,1,0,8,7,8,2,0,1,0.0,149071578.869657,0.0,31905661.41472506,99685318.93337613,0.014503579957571526,0.0,89083682.45103267,0.0,815687.8028484789,35182151.914545625,0.00018584392439837004,0.0,75156961.93789655,0.0,1390100000.0,0.0
26,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,9,5,10,6,3,7,9,10,10,0,3,1,1,5,1,5,9,10,2,2,0.0,310526744.6149653,0.0,0.0,223777188.5531239,0.0,0.0,184155383.03283918,0.0,4086874.7004964966,15444563.06553661,0.0009760457405444875,0.0,93596653.66320348,0.0,862300000.0,0.0
27,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,2,6,7,10,4,4,6,5,6,6,0,6,0,2,3,9,7,3,1,2,1,0.0,291277784.58616316,0.0,0.0,200805772.16007388,0.0,0.0,111380131.5841473,0.0,4034861.3541404293,12586457.998778107,0.00014313329382849413,0.0,122869969.47136664,0.0,927300000.0,109.5734935714128
28,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,3,9,4,4,4,7,1,0,7,9,7,1,0,10,0,5,1,3,9,2,1,0.0,224064025.90668523,0.0,0.0,192567114.86569905,0.0,15037351.269241443,85598581.28332716,0.0015185460778460612,0.0,22258486.725668453,0.0,0.0,109499731.57958442,0.0,1043500000.0,320.09738881552016
29,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,2,1,4,2,5,1,9,0,4,1,6,7,7,10,7,9,2,7,2,0.0,107385518.6904647,0.0,0.0,175016288.22731808,0.0,1842792.7009151452,62295985.03000632,0.0015656787962965513,0.0,31814226.4571058,0.0,0.0,193224964.59681654,0.0,741100000.0,0.0
30,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,4,0,0,10,2,2,3,5,3,5,7,7,0,0,0,9,4,5,5,3,1,0.0,95107331.23784721,0.0,983211.3063642331,143337996.68440405,5.413300632829124e-05,0.0,95102769.40143873,0.0,0.0,32304948.475029543,0.0,9984823.50169067,53114002.716882035,0.0005119760777982686,1029800000.0,381.6789057942143
31,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,4,5,0,4,6,9,2,1,2,6,5,6,2,8,4,8,4,7,7,3,0,0.0,110573595.57493308,0.0,0.0,247016175.91545522,0.0,0.0,77953409.18071027,0.0,0.0,36568414.86922678,0.0,0.0,164665177.5291975,0.0,1676900000.0,0.0
32,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,2,0,4,4,5,0,4,3,3,10,0,0,10,0,8,3,5,6,10,6,2,0.0,102578836.07266891,0.0,0.0,122529913.13437451,0.0,0.0,105053221.07117164,0.0,8277776.093705119,20384338.443195168,0.00029936085666970385,44394110.470236324,88175439.14937997,0.002848289481680458,1215000000.0,1301.4725602636622
33,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,2,3,4,7,7,1,6,2,7,2,4,4,1,6,5,4,4,5,10,1,0.0,139087453.71415257,0.0,0.0,227287810.2552685,0.0,0.0,103293254.77412635,0.0,300130.90448337194,29561882.696503144,2.910551058695326e-05,35673897.9787714,113089000.65111418,0.005601748994362728,577200000.0,518.7270224075588
34,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,4,1,4,1,4,6,0,1,7,1,1,0,6,2,8,5,7,7,1,0.0,120853849.86392611,0.0,0.0,160225076.80785978,0.0,0.0,56232105.137590505,0.0,0.0,30528580.36230105,0.0,29626848.01955231,74011736.27191554,0.004586564807354138,1438700000.0,432.20209545983505
35,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,2,4,4,2,7,3,8,0,4,1,7,0,7,5,1,5,1,7,9,1,0,0.0,151323299.4520034,0.0,0.0,247578858.2118147,0.0,30204155.706643507,49622725.1402255,0.0038499986360069974,0.0,32304948.475029543,0.0,0.0,111162838.60253373,0.0,1402100000.0,512.4061022998417
36,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,3,0,2,2,6,5,5,6,10,7,0,3,6,1,8,0,7,10,3,5,2,0.0,77099991.75787257,0.0,0.0,224700627.14350742,0.0,0.0,144073286.79453444,0.0,2005004.880307901,22374727.640758883,5.629073372101218e-05,0.0,75156961.93789655,0.0,900600000.0,68.17687764682633
37,1,0,0,1,1,1,0,1,1,0,0,0,1,1,1,3,0,6,1,7,4,9,4,3,8,0,5,2,7,1,10,4,8,7,10,2,0.0,100714900.1874114,0.0,0.0,271055117.0258238,0.0,0.0,101253910.21360537,0.0,4190901.3932086267,19742157.81013341,0.00012236319647042473,0.0,151987557.7008103,0.0,1567700000.0,138.40542734523967
38,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,6,0,2,0,0,2,6,7,3,0,2,5,6,0,9,8,5,5,7,2,0.0,106293784.88118687,0.0,35075561.57317339,42818415.6714978,0.015855419827048457,0.0,110716458.39670986,0.0,579722.5808987122,19170235.12681486,0.00012728535002049722,0.0,105251142.62461421,0.0,1773500000.0,0.0
39,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,5,9,2,1,3,6,6,5,4,6,0,7,10,6,6,1,0.0,32694901.094161935,0.0,3355865.7504013944,209777810.663832,0.0005458332231785773,0.0,70642460.95962262,0.0,0.0,44549801.360820435,0.0,0.0,79444167.5169792,0.0,1233700000.0,41.84079651056571
40,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,2,2,7,2,1,2,7,6,9,2,9,1,6,0,1,0,0,7,7,7,1,0.0,160540607.98897105,0.0,15952830.70736253,163617629.8270864,0.0010877684968178644,0.0,117773268.98425347,0.0,0.0,44309491.88537274,0.0,16049216.814738873,25037214.086173728,0.0010444852533077942,1351800000.0,715.4338642403535
41,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,3,1,2,5,3,7,1,0,3,0,7,5,4,4,6,4,7,4,1,10,1,0.0,130919728.8845366,0.0,1013353.5054868249,182451541.5219873,5.7329906235232804e-05,58050914.73915671,24198032.45136138,0.00593264150416272,0.0,42775327.947975025,0.0,0.0,126150069.25112814,0.0,1018700000.0,1246.425684358802
42,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,5,0,5,0,0,9,6,6,1,8,1,7,4,0,7,8,5,6,8,1,0.0,117818559.7239252,0.0,50242318.92639639,89992006.20155807,0.022581794163930073,0.0,100190825.2681444,0.0,0.0,43676485.05355934,0.0,0.0,83927878.88098589,0.0,625800000.0,0.0
43,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,3,0,7,7,2,5,2,2,1,4,7,8,0,0,2,6,4,5,10,8,1,0.0,154345864.93625224,0.0,3416868.3203263446,160530299.5620497,0.00018841437726368717,0.0,73081697.03731254,0.0,0.0,34642037.493008405,0.0,64304733.754281476,70651299.48955701,0.0033452489752617597,997200000.0,2009.3761851642457
44,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,3,9,7,10,4,7,2,6,6,5,0,6,0,7,3,4,7,4,2,1,1,0.0,340277017.56161636,0.0,0.0,199185382.65013418,0.0,0.0,112910645.1005051,0.0,1481696.3536036524,12586457.998778107,4.1919981342617366e-05,0.0,129299005.86489625,0.0,1201300000.0,50.10268740406603
45,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,6,5,9,2,5,7,3,4,0,1,5,4,1,5,1,0,8,9,0,0,0.0,250135840.97921294,0.0,980699.4564373498,199113982.01211327,0.00044888831668927283,0.0,53401633.19836887,0.0,4377377.734625941,29628501.698469043,0.0010979351254939056,23430177.149007034,93596653.66320348,0.010181648862601684,1207400000.0,0.0
46,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,3,6,3,0,7,0,3,2,9,7,6,5,1,1,1,0,4,4,6,3,2,0.0,112454988.58836943,0.0,0.0,133844205.0086204,0.0,30872269.079332743,115123504.64942181,0.0032034022445981266,0.0,35274716.461230814,0.0,30586951.415518403,50929971.20054293,0.0016086042823579305,726000000.0,1544.7658498209785
47,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,3,4,2,5,3,9,7,7,2,2,0,2,2,7,1,1,7,0,2,5,0,0.0,156490049.99378717,0.0,1008329.8056330596,257103200.93215486,5.679708958407589e-05,0.0,92262765.08401714,0.0,4013284.310133471,15173808.632728375,0.00011342023844146592,0.0,108628166.34997386,0.0,532800000.0,161.4341191236196
48,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,10,2,6,2,0,6,10,3,1,7,5,8,0,3,0,7,8,3,7,1,0.0,238109896.81908917,0.0,16422040.203931179,113454271.89419729,0.007614437162452635,0.0,109494422.815134,0.0,0.0,52374143.02112399,0.0,15405100.024671072,30351526.042379983,0.006584598909822181,716300000.0,0.0
49,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,2,5,9,0,5,0,10,10,10,9,1,2,1,10,6,4,8,9,5,2,0.0,202852513.82295227,0.0,15747023.90579752,59410102.93073928,0.007069890027907604,0.0,192666453.0088932,0.0,0.0,36956836.00775997,0.0,0.0,143484059.00903952,0.0,1080100000.0,0.0
50,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,3,6,7,0,1,9,2,2,2,4,1,0,7,3,0,1,7,1,4,9,2,0.0,144075745.84278923,0.0,16035153.427988525,191229712.0357968,0.000878945995096443,0.0,76078019.99577956,0.0,5718588.996577553,21069784.935395602,0.00017200847039541148,0.0,58044072.09764524,0.0,1230600000.0,595.4195247669479
51,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,2,6,7,3,8,0,7,2,5,4,2,0,7,1,5,4,9,5,7,7,1,0.0,209532275.56374696,0.0,0.0,177202865.01677424,0.0,11398770.864602214,86372519.99283671,0.0014801467321301524,296956.81793113175,22585050.269750636,1.1927528392791169e-05,0.0,103799344.79743059,0.0,762600000.0,196.9261938242998
52,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,7,5,4,1,6,2,1,7,0,7,0,2,5,1,7,0,2,2,2,0.0,173779544.91347647,0.0,0.0,175232437.41754627,0.0,0.0,81729039.74031684,0.0,4346941.432276834,14261651.781499248,0.0003906592736341644,0.0,98480404.25731054,0.0,775400000.0,68.2094073585715
53,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,10,6,3,1,8,9,5,7,9,5,2,6,0,0,4,7,8,3,6,1,0.0,252469985.30422038,0.0,15952830.70736253,244068247.66492534,0.007251789978785763,0.0,130056092.75016913,0.0,0.0,35666063.36272972,0.0,31290999.959159017,33377116.55719709,0.013450873380203024,916200000.0,0.0
54,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3,1,0,5,5,7,9,4,5,5,0,4,6,1,3,1,4,5,6,1,0,0.0,88511693.9986257,0.0,0.0,280820226.0815041,0.0,0.0,98311612.93042651,0.0,4398954.778632901,24092218.720461875,0.00013283861168059802,2033169.9186632156,85064701.79229271,0.00010590022660239429,625800000.0,202.14650545067803
55,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,2,1,1,3,3,2,6,7,1,6,1,3,7,6,2,1,8,4,4,4,2,0.0,111738176.02288951,0.0,1010841.6555599419,173329410.61581492,7.13293723870679e-05,0.0,100985425.35951225,0.0,4429391.08098201,31376262.396394357,0.00016796383607726485,0.0,106770262.84273942,0.0,1063100000.0,134.86536572038514
56,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,4,1,2,1,6,2,4,8,3,6,5,5,1,0,0,8,5,5,3,2,0.0,129316563.19491181,0.0,15829346.626423521,160719265.89464295,0.0025713540029731912,0.0,105266805.12921855,0.0,0.0,42145770.00137461,0.0,73380965.87620603,25037214.086173728,0.011521198668532639,1555700000.0,1255.506183870893
57,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,4,5,6,6,5,1,6,2,9,1,3,0,1,4,1,2,9,1,5,2,0.0,191741152.90746433,0.0,0.0,194071605.62081167,0.0,0.0,111650604.2826975,0.0,7474527.890406963,15063068.18035096,0.0019590080860801616,60442138.10411527,89172292.44612697,0.02625596466029171,176700000.0,0.0
58,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4,2,6,6,10,4,5,1,9,0,0,1,10,0,2,9,6,9,3,1,0.0,164741366.99800193,0.0,0.0,279144539.8028431,0.0,0.0,102490598.51897138,0.0,24656327.021930784,6320800.309666242,0.000726619999235956,0.0,96767921.20487039,0.0,369700000.0,943.1599843141959
59,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,7,1,0,0,5,1,6,10,0,2,2,6,7,9,8,6,2,6,0,0.0,194679164.47450042,0.0,50242318.92639639,59410102.93073928,0.022581794163930073,19008361.84461315,108710162.81740083,0.01611143520729342,2505816.0872908183,15173808.632728375,0.0005850221041150665,0.0,176545197.41236976,0.0,492600000.0,0.0
60,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,6,3,2,5,10,3,6,2,6,1,2,1,1,6,8,5,1,10,0,0.0,210412756.01456407,0.0,6024027.899549092,232273804.9759786,0.00100783284489057,0.0,88922169.59838012,0.0,0.0,29595330.837397985,0.0,106616804.52236816,94003040.7224447,0.016816774724055444,199900000.0,1605.769147906833
61,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,3,8,4,4,7,7,1,0,7,1,7,3,5,5,0,10,4,3,7,3,1,0.0,210512563.92827213,0.0,0.0,227287810.2552685,0.0,54621363.993905395,59903444.52010451,0.005604169265550982,0.0,40445544.25168531,0.0,0.0,105495938.72046074,0.0,1199900000.0,1143.9018997905296
62,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,3,2,7,1,10,2,1,9,0,4,5,6,1,5,7,5,2,10,0,0.0,126556908.17246997,0.0,0.0,251920093.0678591,0.0,0.0,88793957.19518742,0.0,10123679.454430997,22356212.824753046,0.0024719884152819855,0.0,117305091.0609757,0.0,517400000.0,0.0
63,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,10,6,9,1,4,1,1,8,5,6,2,1,3,0,4,8,1,0,2,1,0.0,326034931.6970743,0.0,16035153.427988525,138668558.60311794,0.000878945995096443,28426514.669150304,97825566.28048185,0.0029041512381244826,0.0,29826314.78444877,0.0,2577723.416968884,67268466.33257627,0.00013637360365888296,321100000.0,1084.879880616952
64,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,2,4,4,5,7,0,3,2,0,5,2,1,9,8,7,7,8,8,1,0,1,0.0,173196108.90238762,0.0,0.0,133844205.0086204,0.0,22721749.896098856,52967973.44432734,0.002942794628334054,0.0,34160593.35574436,0.0,0.0,179441025.37415805,0.0,1661800000.0,379.07794033147434
65,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,3,6,5,2,4,8,3,2,9,7,6,4,0,0,2,1,4,5,6,3,2,0.0,180659118.0167573,0.0,0.0,217929442.07878172,0.0,0.0,115123504.64942181,0.0,0.0,24447158.301910475,0.0,68626801.38972235,54355764.74753119,0.00357923660445017,654200000.0,2046.7831219352645
66,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,7,1,4,7,5,10,4,7,0,2,2,0,0,9,7,8,10,3,1,0.0,145940066.0722279,0.0,0.0,223196136.3883948,0.0,0.0,135938505.915125,0.0,4086874.7004964966,15173808.632728375,0.0009760457405444875,45031948.04422338,53114002.716882035,0.01932505670802812,1164700000.0,0.0
67,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,1,1,1,5,7,7,1,2,5,4,4,1,0,3,1,5,4,8,4,1,0.0,101474517.63440433,0.0,0.0,255861989.36510822,0.0,30306942.379364926,75077222.04581898,0.003873730046736329,0.0,29055140.81460571,0.0,46971833.887205206,58044072.09764524,0.003018756486254062,587500000.0,1653.7127965713191
68,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,5,2,1,3,8,1,2,6,5,5,1,2,0,4,5,3,7,3,5,1,0.0,139407389.16070437,0.0,1013353.5054868249,193086663.5218269,0.00047774921862694003,11379822.90632582,93428759.9880324,0.00983848015432393,0.0,27515640.930190742,0.0,19243566.53800753,75329742.05586098,0.00822928231926788,885500000.0,0.0
